ID,Feature / Module,Primary Actor,Release,Patient-facing,Automated Clinical Interpretation,Working Regulatory Status,V1 Handling / Boundary,Release Gate,Owner,Status
F-028,Automatic end of temporary admission access,Institution,V1,No,No,GREEN — privacy control,Temporary staff access ends/reduces at discharge; ongoing doctor access follows mother's sharing choices.,Privacy + RBAC test,TBD,Planned
F-029,Family caregiver read-only access,Mother / Caregiver,V1,Yes,No,GREEN — access control,Mother selects what caregiver can view; no independent health-record entry in V1.,Consent + privacy QA,TBD,Planned
F-030,Vaccination tracking,Mother / Pediatrician,V1,Yes,No,GREEN — education/record function,"Evidence-based schedule, reminders and record storage; clinician can review.",Clinical content sign-off,TBD,Planned
F-031,Growth charts,Mother / Pediatrician,V1,Yes,No,GREEN/AMBER — implementation review,Plot measurements using appropriate evidence-based growth standards. Avoid unsupported diagnostic labels.,Clinical validation of chart engine,TBD,Planned
F-032,Developmental milestone checklist,Mother / Pediatrician,V1,Yes,No,GREEN — observational tracking,Show expected/upcoming milestones and record observed achievement; do not diagnose developmental delay.,Clinical content sign-off,TBD,Planned
F-033,Corrected age for preterm milestone display,Mother / Pediatrician,V1,Yes,No,GREEN — calculation/content,Use corrected age where clinically appropriate; rules to be clinically verified.,Clinical validation,TBD,Planned
F-034,Development-promoting activities,Mother / Child,V1,Yes,No,GREEN — education,"Simple age-appropriate activities; frame as supportive activities, not diagnostic tests.",Clinical content sign-off,TBD,Planned
F-035,Postnatal depression questionnaire,Mother / Clinician,V1,Yes,Limited screening score,AMBER — validated screening workflow,"Use validated screening instrument; clearly label as screening, not diagnosis; clinician follow-up pathway required.",Clinical + legal review,TBD,Planned
F-036,Subscription / entitlement logic,Mother / Institution,V1,Yes,No,GREEN — commercial function,Enhanced access included for mothers linked to subscribing primary OBGY/institution; core app remains usable without one.,Commercial QA,TBD,Planned
F-037,Generated pregnancy summary for consumer,Mother,V1 candidate,Yes,No,AMBER — wording/content review,May summarise factual current pregnancy data; no risk/diagnosis/urgency interpretation.,Regulatory content review,TBD,TBD
F-038,AI meal suggestions — general wellness,Mother,V1 candidate,Yes,Low,AMBER — scope tightly,General pregnancy nutrition personalisation only; avoid disease-specific therapeutic counselling.,Clinical + regulatory review,TBD,TBD
F-039,Micronutrient tracking,Mother,V1 candidate,Yes,No,GREEN/AMBER — content review,Track intake/adherence and educational targets; do not alter prescribed supplement doses automatically.,Clinical content review,TBD,TBD
F-040,Automated abnormality flagging,Clinician,V2+,Indirect,Yes,RED — likely MDSW / regulated,Detect and flag clinically abnormal patterns or values.,CDSCO classification + validation,TBD,Regulatory Hold
F-041,Automated urgency / triage,Clinician / Mother,V2+,Yes,Yes,RED — likely MDSW / regulated,Assign priority or urgency based on health data.,CDSCO classification + validation,TBD,Regulatory Hold
F-042,Risk prediction / deterioration detection,Clinician,V2+,Indirect,Yes,RED — likely MDSW / regulated,Predict clinical risk or deterioration.,CDSCO classification + validation,TBD,Regulatory Hold
F-043,Automated treatment recommendation,Clinician / Mother,V2+,Yes,Yes,RED — regulated/high concern,"Recommend medicine, dose, treatment or disease-specific management.",CDSCO + clinical validation,TBD,Regulatory Hold
F-044,Disease-specific AI nutrition counselling,Mother / Clinician,V2+,Yes,Yes,RED/AMBER — likely regulated clinical support,Therapeutic dietary management for conditions such as GDM/HTN must be clinician-led and separately reviewed.,Regulatory gate,TBD,Regulatory Hold
F-045,Connected device automatic medical monitoring,Mother / Clinician,Future,Yes,Potential,AMBER/RED — device interaction review,Bluetooth/API device connectivity requires separate intended-use and regulatory review before rollout.,Regulatory gate,TBD,Future
F-046,ABDM / ABHA integration,Mother / Institution,Future,Yes,No,"GREEN — interoperability, separate onboarding/compliance",Plan later for consented interoperable health records; timing TBD.,ABDM integration gate,TBD,Future
F-047,Blood investigations tracker,Mother / Institution/ Doctor.,V1,Yes,Potential ,Amber- interpreting it may require CDDSCo,TBD,ABDM integration gate,TBD,Future
